80626	11894
80626	16246
80626	16322
80626	18914
80626	19729
80626	29574
80626	33045
80626	47998
80626	49453
80626	52148
80626	53171
80626	57478
80626	58947
80626	65889
80626	69807
80626	71241
80626	71586
80626	73498
80626	74989
80626	77976
80626	82175
80626	82686
80626	83197
80626	86550
80626	87044
80626	90037
80626	91476
80626	93858
80626	96866
80626	100206
80626	104817
80626	104841
80626	105429
80626	106876
80626	107009
80626	107254
004841	94
004841	14598
004841	16246
004841	45089
004841	45620
004841	46269
004841	46745
004841	57427
004841	59913
004841	62327
004841	67665
004841	77976
004841	81626
004841	93928
004841	95053
004841	104056
4750	209
4750	0631
4750	0895
4750	5087
4750	5489
4750	6088
4750	8536
4750	9402
4750	00099
4750	01699
4750	23802
4750	32020
4750	34036
4750	36397
4750	38677
4750	46044
4750	49824
4750	49895
4750	50279
4750	50800
4750	52287
4750	57702
4750	58255
4750	59022
4750	60000
4750	63527
4750	64031
4750	64064
4750	64623
4750	66863
4750	67236
4750	70050
4750	70665
4750	72019
4750	74074
4750	78850
4750	80340
4750	82037
4750	82247
4750	83259
4750	83562
4750	83824
4750	85287
4750	88584
4750	88748
4750	89659
4750	89766
4750	92905
4750	95372
4750	95640
4750	96900
4750	001244
4750	004422
4750	005341
4750	005877
4750	007534
209	0631
209	4750
209	7930
209	04502
209	20850
209	44858
209	46269
209	49453
209	52069
209	62552
209	82995
209	83824
209	85287
209	98707
209	005046
09136	1265
09136	44830
09136	46918
09136	60397
09136	61080
09136	79490
44830	09136
44830	46908
44830	60397
44830	60080
60397	7470
60397	09136
60397	09503
60397	24345
60397	44830
60397	46908
60397	47236
60397	48536
60397	60080
20830	15263
20830	47678
20830	51555
20830	86311
20830	91211
47678	7900
47678	04074
47678	04609
47678	07522
47678	20830
47678	23075
47678	25430
47678	30712
47678	32276
47678	48647
47678	55364
47678	64705
47678	67225
47678	86301
47678	90234
47678	93492
47678	94402
47678	97347
86301	7684
86301	15263
86301	20831
86301	32523
86301	40938
86301	47678
86301	57501
86301	88238
86301	89961
86301	95669
86301	102756
86301	106359
28406	04907
28406	40460
28406	77232
28406	77574
28406	94464
40460	28406
40460	45384
40460	77574
77574	7978
77574	05720
77574	22095
77574	28406
77574	29867
77574	40976
77574	40460
77574	50250
77574	63045
77574	73447
77574	86380
43456	8924
43456	20570
43456	32407
